Yelp Category,LOD Resource name,LOD Resource URL
Juice Bars & Smoothies,Juice,http://dbpedia.org/resource/Juice
Juice Bars & Smoothies,Smoothie,http://dbpedia.org/resource/Smoothie
Karaoke,Karaoke,http://dbpedia.org/resource/Karaoke
Keys & Locksmiths,Key_(lock),http://dbpedia.org/resource/Key_(lock)
Keys & Locksmiths,Lock_(security_device),http://dbpedia.org/resource/Lock_(security_device)
Kids Activities,After_school_activity,http://dbpedia.org/resource/After_school_activity
Kids Activities,Play_(activity),http://dbpedia.org/resource/Play_(activity)
Kitchen & Bath,Bathroom,http://dbpedia.org/resource/Bathroom
Kitchen & Bath,Kitchen,http://dbpedia.org/resource/Kitchen
Knitting Supplies,Knitting,http://dbpedia.org/resource/Knitting
Korean,Korean_cuisine,http://dbpedia.org/resource/Korean_cuisine
Lakes,Lake,http://dbpedia.org/resource/Lake
Landmarks & Historical Buildings,Landmark,http://dbpedia.org/resource/Landmark
Landmarks & Historical Buildings,Monument,http://dbpedia.org/resource/Monument
Landscape Architects,Landscape_architecture,http://dbpedia.org/resource/Landscape_architecture
Landscaping,Landscaping,http://dbpedia.org/resource/Landscaping
Laser Eye Surgery/Lasik,LASIK,http://dbpedia.org/resource/LASIK
Laser Hair Removal,Laser_hair_removal,http://dbpedia.org/resource/Laser_hair_removal
Laser Tag,Laser_tag,http://dbpedia.org/resource/Laser_tag
Latin American,Latin_American_cuisine,http://dbpedia.org/resource/Latin_American_cuisine
Lawyers,Lawyer,http://dbpedia.org/resource/Lawyer
Leather Goods,Leather,http://dbpedia.org/resource/Leather
Lebanese,Lebanese_cuisine,http://dbpedia.org/resource/Lebanese_cuisine
Libraries,Library,http://dbpedia.org/resource/Library
Limos,Limousine,http://dbpedia.org/resource/Limousine
Lingerie,Lingerie,http://dbpedia.org/resource/Lingerie
Live/Raw Food,Raw_foodism,http://dbpedia.org/resource/Raw_foodism
Local Fish Stores,Fish_market,http://dbpedia.org/resource/Fish_market
Lounges,Bar,http://dbpedia.org/resource/Bar
Macarons,Macaron,http://dbpedia.org/resource/Macaron
Magicians,Magic_(illusion),http://dbpedia.org/resource/Magic_(illusion)
Mailbox Centers,Mail_services_center,http://dbpedia.org/resource/Mail_services_center
Makeup Artists,Make_up_artist,http://dbpedia.org/resource/Make_up_artist
Malaysian,Malaysian_cuisine,http://dbpedia.org/resource/Malaysian_cuisine
Martial Arts,Martial_arts,http://dbpedia.org/resource/Martial_arts
Mass Media,Mass_media,http://dbpedia.org/resource/Mass_media
Massage,Massage,http://dbpedia.org/resource/Massage
Massage Schools,Massage,http://dbpedia.org/resource/Massage
