Yelp Category,LOD Resource
Property Management,http://dbpedia.org/resource/Property_manager
Public Services & Government,http://dbpedia.org/resource/Government
Public Services & Government,http://dbpedia.org/resource/Public_service
Public Transportation,http://dbpedia.org/resource/Public_transport
Pubs,http://dbpedia.org/resource/Pub
Ramen,http://dbpedia.org/resource/Ramen
Real Estate,http://dbpedia.org/resource/Real_estate
Real Estate Services,http://dbpedia.org/resource/Real_estate
Recreation Centers,http://dbpedia.org/resource/Recreation
Reflexology,http://dbpedia.org/resource/Reflexology
Reiki,http://dbpedia.org/resource/Reiki
Religious Organizations,http://dbpedia.org/resource/Religious_organization
Resorts,http://dbpedia.org/resource/Resort
Restaurants,http://dbpedia.org/resource/Restaurant
Rock Climbing,http://dbpedia.org/resource/Rock_climbing
Roofing,http://dbpedia.org/resource/Roofer
Russian,http://dbpedia.org/resource/Russian_cuisine
RV Parks,http://dbpedia.org/resource/RV_park
RV Repair,"http://dbpedia.org/resource/Maintenance,_repair,_and_operations"
Salad,http://dbpedia.org/resource/Salad
Sandwiches,http://dbpedia.org/resource/Sandwich
Saunas,http://dbpedia.org/resource/Sauna
Scandinavian,http://dbpedia.org/resource/Cuisine
Seafood,http://dbpedia.org/resource/Seafood
Seafood Markets,http://dbpedia.org/resource/Fish_market
Security Systems,http://dbpedia.org/resource/Home_security
Self Storage,http://dbpedia.org/resource/Self_storage
Shared Office Spaces,http://dbpedia.org/resource/Coworking
Shaved Ice,http://dbpedia.org/resource/Shave_ice
Shipping Centers,http://dbpedia.org/resource/Distribution_center
Shoe Repair,"http://dbpedia.org/resource/Maintenance,_repair,_and_operations"
Shoe Repair,http://dbpedia.org/resource/Shoe
Shoe Stores,http://dbpedia.org/resource/Shoe_store
Shopping,http://dbpedia.org/resource/Shopping
Shopping Centers,http://dbpedia.org/resource/Shopping_mall
Skating Rinks,http://dbpedia.org/resource/Ice_rink
Skin Care,http://dbpedia.org/resource/Skin_care
Skydiving,http://dbpedia.org/resource/Parachuting
Smog Check Stations,http://dbpedia.org/resource/Vehicle_emissions_control
Soccer,http://dbpedia.org/resource/Association_football
Soul Food,http://dbpedia.org/resource/Soul_food
Soup,http://dbpedia.org/resource/Soup
Southern,http://dbpedia.org/resource/Cuisine_of_the_Southern_United_States
Souvenir Shops,http://dbpedia.org/resource/Gift_shop
Spanish,http://dbpedia.org/resource/Spanish_cuisine
Specialty Food,http://dbpedia.org/resource/Specialty_foods
Specialty Schools,http://dbpedia.org/resource/Magnet_school
Sporting Goods,http://dbpedia.org/resource/Sports_equipment
Sports Bars,http://dbpedia.org/resource/Bar
Sports Bars,http://dbpedia.org/resource/Sport
Sports Clubs,http://dbpedia.org/resource/Sports_club
Sports Medicine,http://dbpedia.org/resource/Sports_medicine
Sports Wear,http://dbpedia.org/resource/Sportswear_(activewear)
Spray Tanning,http://dbpedia.org/resource/Sunless_tanning
Stadiums & Arenas,http://dbpedia.org/resource/Arena
Stadiums & Arenas,http://dbpedia.org/resource/Stadium
Steakhouses,http://dbpedia.org/resource/Steakhouse
Street Vendors,http://dbpedia.org/resource/Street_food
Summer Camps,http://dbpedia.org/resource/Summer_camp
Sushi Bars,http://dbpedia.org/resource/Bar
Sushi Bars,http://dbpedia.org/resource/Sushi
Swimming Lessons/Schools,http://dbpedia.org/resource/Swimming_lessons
Swimming Pools,http://dbpedia.org/resource/Swimming_pool
Szechuan,http://dbpedia.org/resource/Sichuan_cuisine
Taiwanese,http://dbpedia.org/resource/Taiwanese_cuisine
Tanning,http://dbpedia.org/resource/Sunless_tanning
Tapas Bars,http://dbpedia.org/resource/Bar
Tapas Bars,http://dbpedia.org/resource/Tapas
Tapas/Small Plates,http://dbpedia.org/resource/Small_plates
Tapas/Small Plates,http://dbpedia.org/resource/Tapas
Tattoo,http://dbpedia.org/resource/Tattoo
Tax Services,http://dbpedia.org/resource/Tax_preparation
Taxis,http://dbpedia.org/resource/Taxicab
Tea Rooms,http://dbpedia.org/resource/Tea_house
Teeth Whitening,http://dbpedia.org/resource/Tooth_whitening
Television Service Providers,http://dbpedia.org/resource/Cable_television
Teppanyaki,http://dbpedia.org/resource/Teppanyaki
Tex-Mex,http://dbpedia.org/resource/Tex_Mex
Thai,http://dbpedia.org/resource/Thai_cuisine
Threading Services,http://dbpedia.org/resource/Threading_(epilation)
Thrift Stores,http://dbpedia.org/resource/Charity_shop
Ticket Sales,http://dbpedia.org/resource/Ticket_resale
Tires,http://dbpedia.org/resource/Tire
Tobacco Shops,http://dbpedia.org/resource/Tobacconist
Tours,http://dbpedia.org/resource/Tour_operator
Towing,http://dbpedia.org/resource/Towing
Toy Stores,http://dbpedia.org/resource/Toy_store
Train Stations,http://dbpedia.org/resource/Train_station
Trainers,http://dbpedia.org/resource/Personal_trainer
Trains,http://dbpedia.org/resource/Train
Transmission Repair,"http://dbpedia.org/resource/Maintenance,_repair,_and_operations"
